"Species","Leaf Area per Leaf Dry Mass","Whole Plant Height","Seed Mass"
"Agropyron cristatum",10.0558018192941,0.517,4.154
"Allium schoenoprasum",8.79466666666667,0.33,0.838333333333333
"Allium vineale",18.7,0.25,19
"Amaranthus blitoides",18.140411352,0.49375,0.9294
"Amaranthus blitum",36.293,0.425,0.43
"Amaranthus retroflexus",16.3201115728,0.567916666666667,0.407727272727273
"Asparagus officinalis",10.9271739090909,1.05,23.4113581818182
"Avena barbata",30.8420543267925,0.333333333333333,8.988584875
"Avena fatua",31.4908931477715,0.7625,9.35659333333333
"Avena sativa",32.2553279913821,0.90025,33.6200909090909
"Avena sterilis",32.3352,0.28022,9.476
"Avena strigosa",29.412,1.5175,18.5
"Bactris mexicana",1.82481751824818e-05,5,340
"Barbarea vulgaris",26.448976,0.558333333333333,0.644697875
"Brassica nigra",26.4207816666667,0.8205,1.10496525
"Brassica oleracea",25.75562,0.295256,3.98715294117647
"Brassica rapa",25.8631994117647,0.5585,1.98618023076923
"Calamagrostis epigejos",14.4857746306667,1,0.064
"Carthamus tinctorius",14.15,0.856428571428571,35.1666666666667
"Carya cordiformis",30.7003621052632,18.5628680497925,2793.36584925
"Carya glabra",20.9729632459649,17.7776559122181,4066.15636488889
"Carya ovata",22.1994108628955,18.1902948876669,4310.3851656
"Carya tomentosa",21.3046256032717,23.6263157894737,5839.90722225
"Castanea sativa",12.5900013297872,31,9944.375
"Chenopodium album",22.8641729198214,1.41235294117647,0.703453780487805
"Chenopodium ambrosioides",29.518,0.625625,0.4459
"Chenopodium ficifolium",19.5702883553846,0.544017857142857,0.34
"Chenopodium glaucum",20.4399398695,0.252777777777778,0.2198
"Chenopodium hybridum",35.7066666666667,0.475,1.9825
"Chenopodium polyspermum",40.5490388349091,0.833658536585366,0.336973684210526
"Chenopodium rubrum",20.3837205105556,0.66375,0.2647
"Chenopodium vulvaria",28.9611388571429,0.56125,0.317666666666667
"Cicer arietinum",20.1493,0.1496,345.537714285714
"Coffea arabica",1.03130846232214e-05,3.67161379310345,188.3175
"Comarum palustre",19.0233333333333,0.4,0.373285714285714
"Corylus americana",9.5,5.6148,740.2476762
"Corylus cornuta",30.232,7.08,719.615176666667
"Crambe maritima",9.026,0.385,76.565
"Cynara cardunculus",14.67715,0.14215,32.0777777777778
"Digitaria ischaemum",41.86,0.148,0.51
"Digitaria sanguinalis",35.038,0.19,0.522
"Diospyros texana",13.5,3.18179165378671,131.16
"Diospyros virginiana",23.7814567957377,10.4500217271293,369.045214
"Diplotaxis muralis",21.46,0.163333333333333,0.279
"Diplotaxis tenuifolia",22.45,0.35625,0.32
